source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Scott Brown,NA,NA,NA,NA,1959,40913,4,55,51,0,REP,M,MA,01975,111
Sheldon Whitehouse,1,0.04020296643247463,2,Hillary Rodham Clinton,1955,40704,41,420,379,0,DEM,M,RI,01823,111
Sheldon Whitehouse,0.5859635659031637,10.42564835685545,25,John F. Reed,1955,40704,41,420,379,0,DEM,M,RI,01823,111
Sherrod Brown,1,0.04020296643247463,2,Hillary Rodham Clinton,1952,29389,88,548,460,0,DEM,M,OH,00136,111
Sherrod Brown,0.8830550293127922,30.989583333333332,34,George V. Voinovich,1952,29389,88,548,460,0,DEM,M,OH,00136,111
Sherrod Brown,0.3085478243194181,0.7153871998837673,10,Edward M. Kennedy,1952,29389,88,548,460,0,DEM,M,OH,00136,111
Susan M. Collins,0.3051136543098093,1.5333333333333332,3,Edward E. Kaufman,1952,49703,41,393,352,12,REP,F,ME,01541,111
Susan M. Collins,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1952,49703,41,393,352,12,REP,F,ME,01541,111
Thad Cochran,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1937,14009,7,243,236,30,REP,M,MS,00213,111
Thad Cochran,0.7400829875518672,3.5388888888888888,9,Roger F. Wicker,1937,14009,7,243,236,30,REP,M,MS,00213,111
Thomas A. Coburn,0.7168069763648661,8.099713386029176,17,James M. Inhofe,1948,29555,9,171,162,0,REP,M,OK,00212,111
Thomas A. Coburn,0.2643831248006903,1.3777126099706745,13,Jim W. DeMint,1948,29555,9,171,162,0,REP,M,OK,00212,111
Thomas A. Coburn,0.3526170798898072,1.0666666666666667,2,George S. LeMieux,1948,29555,9,171,162,0,REP,M,OK,00212,111
Thomas Harkin,1,0.04020296643247463,2,Hillary Rodham Clinton,1939,14230,42,253,211,24,DEM,M,IA,00501,111
Thomas Richard Carper,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1947,15015,27,166,139,6,DEM,M,DE,00179,111
Tim P. Johnson,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1946,15425,17,277,260,12,DEM,M,SD,00604,111
Tom S. Udall,0.32066588400404356,11.628141923436042,25,Jeff Bingaman,1948,29924,15,215,200,0,DEM,M,NM,01567,111
Tom S. Udall,1,0.04020296643247463,2,Hillary Rodham Clinton,1948,29924,15,215,200,0,DEM,M,NM,01567,111
Alan Stuart Franken,NA,NA,NA,NA,1951,40904,30,358,328,0,DEM,M,MN,01969,112
Amy Jean Klobuchar,0.27118871242822584,3.0949392712550607,8,Alan Stuart Franken,1960,40700,61,391,330,0,DEM,F,MN,01826,112
Barbara A. Mikulski,0.3156959899584699,7.781139122315593,18,Benjamin L. Cardin,1936,14440,20,317,297,24,DEM,F,MD,00802,112
Barbara Boxer,0.5683778188434162,12.11075748082327,26,Dianne Feinstein,1940,15011,50,372,322,18,DEM,F,CA,00116,112
Ben E. Nelson,0.6339653855702342,4.213858363858364,8,Mike Johanns,1941,40103,12,135,123,6,DEM,M,NE,01627,112
Benjamin L. Cardin,0.320481047661284,1.1079545454545454,3,Jefferson B. Sessions,1943,15408,49,365,316,0,DEM,M,MD,00174,112
Bernard Sanders,0.26790755601188815,6.415254764392696,18,Kirsten E. Gillibrand,1941,29147,20,317,297,0,IND,M,VT,01010,112
Bernard Sanders,0.26798230079863783,1.879123654123654,11,Thomas Harkin,1941,29147,20,317,297,0,IND,M,VT,01010,112
Bill Nelson,0.792692245537035,5.676028138528139,13,Marco Rubio,1942,14651,34,248,214,6,DEM,M,FL,00859,112
Bob Corker,0.42946541393170257,1.2436868686868687,4,Lamar Alexander,1952,40705,6,142,136,0,REP,M,TN,01825,112
Bob Corker,0.2774108322324967,0.5,1,Ron Johnson,1952,40705,6,142,136,0,REP,M,TN,01825,112
Carl Levin,NA,NA,NA,NA,1934,14709,18,199,181,30,DEM,M,MI,01384,112
Charles E. Grassley,NA,NA,NA,NA,1933,14226,27,269,242,30,REP,M,IA,00457,112
Charles E. Schumer,0.38694186612504045,9.265623885918004,28,Kirsten E. Gillibrand,1950,14858,67,391,324,12,DEM,M,NY,01036,112
